# Codium::Blocks Brazilian Portuguese UI catalog
# Product names, legal notices, SPDX identifiers, and protocol identifiers remain invariant.
menu.file	&Arquivo
menu.edit	&Editar
menu.language	&Idioma
menu.build	&Compilar
menu.terminal	&Terminal
menu.debug	Depurar
menu.view	&Exibir
menu.extensions	E&xtensões
menu.help	&A ajuda
menu.commandPalette	Paleta de comandos...	Ctrl+Shift+P
menu.openWorkspace	Abrir espaço de trabalho...
menu.openFile	Abrir arquivo	Ctrl+O
menu.saveFile	Salvar arquivo	Ctrl+S
menu.exit	Sair	Ctrl+Q
menu.find	Localizar	Ctrl+F
menu.findNext	Localizar próxima	F3
menu.findPrevious	Localizar anterior	Shift+F3
menu.replace	Substituir	Ctrl+H
menu.replaceAll	Substituir tudo
menu.goToLine	Ir para a linha	Ctrl+G
menu.goToFile	Ir para o arquivo	Ctrl+P
menu.goToSymbol	Ir para o símbolo	Ctrl+Shift+O
menu.goToDefinition	Ir para a definição	F12
menu.goToDeclaration	Ir para a declaração
menu.findReferences	Localizar referências	Shift+F12
menu.renameSymbol	Renomear símbolo	F2
menu.codeActions	Ações de código	Ctrl+.
menu.nextTab	Próxima aba	Ctrl+Tab
menu.previousTab	Aba anterior	Ctrl+Shift+Tab
menu.startClangd	Iniciar clangd
menu.initializeLsp	Inicializar servidor de linguagem
menu.requestHover	Solicitar informações	F1
menu.requestCompletion	Solicitar conclusão	Ctrl+Espaço
menu.stopLsp	Parar servidor de linguagem
menu.buildProject	Compilar projeto
menu.rerunBuild	Executar última compilação	Ctrl+Shift+B
menu.runTask	Executar tarefa selecionada
menu.stopTask	Parar tarefa
menu.previousProblem	Problema anterior	Shift+F8
menu.nextProblem	Próximo problema	F8
menu.startTerminal	Iniciar terminal
menu.sendTerminal	Enviar entrada
menu.stopTerminal	Parar terminal
menu.selectShell	Selecionar shell...
menu.startDebug	Iniciar adaptador de depuração
menu.initializeDebug	Inicializar depuração
menu.launchProgram	Executar programa
menu.continue	Continuar
menu.pause	Pausar
menu.stopDebug	Parar depuração
menu.systemTheme	Tema do sistema
menu.lightTheme	Tema claro
menu.darkTheme	Tema escuro
menu.highContrastTheme	Tema de alto contraste
menu.startHost	Iniciar host de extensões
menu.loadDemo	Carregar extensão de demonstração
menu.runDemo	Executar hello.codium
menu.installVsix	Instalar VSIX
menu.listExtensions	Listar extensões instaladas
menu.discoverCodeBlocks	Descobrir SDK do Code::Blocks
menu.startCodeBlocksAdapter	Iniciar adaptador do Code::Blocks
menu.stopCodeBlocksAdapter	Parar adaptador do Code::Blocks
menu.about	Sobre o Codium::Blocks
menu.languageSystem	Padrão do sistema
menu.languageEnglish	Inglês
menu.languagePortugueseBrazil	Português (Brasil)
title.main	Codium::Blocks — IDE nativa clássica — sem Electron
title.projectNavigator	NAVEGADOR DO PROJETO
button.open	Abrir
button.scm	SCM
button.openFile	Abrir arquivo
button.save	Salvar
button.build	Compilar
button.buildAndRun	Compilar e executar
button.runTask	Executar tarefa
button.palette	Paleta
button.previous	Anterior
button.next	Próximo
button.rerunBuild	Reexecutar compilação
button.start	Iniciar
button.sendInput	Enviar entrada
button.stop	Parar
button.shell	Shell
button.startAdapter	Iniciar adaptador
button.initialize	Inicializar
button.launch	Executar
button.breakpoint	Breakpoint
button.breakpointOptions	Opções do breakpoint
button.functionBreakpoint	Breakpoint de função
button.dataBreakpoint	Breakpoint de dados
button.watch	Watch
button.sourceMap	Mapa de origem
button.cbDebug	Depuração CB
button.cbContinue	Continuar CB
button.cbPause	Pausar CB
button.cbStop	Parar CB
button.startClangd	Iniciar clangd
button.initializeLsp	Inicializar LSP
button.hover	Informações
button.completion	Conclusão
button.semanticTokens	Tokens semânticos
button.stopLsp	Parar LSP
button.startHost	Iniciar host
button.loadDemo	Carregar demonstração
button.runDemo	Executar demonstração
button.installVsix	Instalar VSIX
button.searchOpenVsx	Pesquisar no Open VSX
button.discoverCodeBlocks	Descobrir Code::Blocks
button.startCbAdapter	Iniciar adaptador CB
button.stopCbAdapter	Parar adaptador CB
label.treeViews	Árvores de visualização
label.sourceControl	Controle de código-fonte
label.customEditors	Editores personalizados
label.tasks	Tarefas
label.scheme	Esquema
label.target	Alvo
label.toolchain	Toolchain
label.problems	Problemas
label.severity	Severidade
label.source	Origem
label.build	Compilação
label.terminal	Terminal
label.debug	Depuração
label.output	Saída
label.breakpoints	Breakpoints
label.threads	Threads
label.callStack	Pilha de chamadas
label.watches	Watches
label.variables	Variáveis
label.capabilities	Capacidades
label.language	Idioma
filter.all	Todos
filter.errors	Erros
filter.warnings	Avisos
filter.information	Informações
filter.hints	Dicas
filter.allSources	Todas as origens
status.ready	Pronto
status.noWorkspace	Nenhum espaço de trabalho
status.utf8	UTF-8
status.noProjectScheme	Nenhum esquema de projeto
status.noBuildSession	Nenhuma sessão de compilação
status.noProblems	Nenhum problema
status.dapDisconnected	DAP: desconectado
status.workspaceTrusted	Espaço de trabalho confiável
status.workspaceUntrusted	Espaço de trabalho não confiável
status.languageChangedRestart	Preferência de idioma salva. Reinicie o Codium::Blocks para aplicá-la.
